subject,level,question,options,correctAnswer
Math,Easy,What is 2 + 2?,"3|4|5|6",4
Math,Easy,What is the capital of France?,"London|Paris|Berlin|Rome",Paris
Math,Easy,Which planet is closest to the Sun?,"Mars|Earth|Venus|Mercury",Mercury
Math,Easy,What is the boiling point of water?,"90°C|100°C|80°C|120°C",100°C
Math,Easy,Which color is a banana when ripe?,"Red|Yellow|Green|Blue",Yellow
Math,Easy,How many days are there in a week?,"5|6|7|8",7
Math,Easy,What is the largest ocean on Earth?,"Indian Ocean|Atlantic Ocean|Pacific Ocean|Arctic Ocean",Pacific Ocean
Math,Easy,What shape has four equal sides?,"Rectangle|Triangle|Square|Circle",Square
Math,Easy,What animal is known as 'man's best friend'?,"Cat|Dog|Horse|Rabbit",Dog
Math,Easy,What is the color of an emerald?,"Blue|Green|Yellow|Red",Green

Math,Medium,What is the square root of 144?,"10|11|12|13",12
Math,Medium,Who wrote 'Hamlet'?,"Shakespeare|Tolkien|Austen|Dickens",Shakespeare
Math,Medium,What is the chemical symbol for water?,"H|O|H2|H2O",H2O
Math,Medium,How many continents are there?,"5|6|7|8",7
Math,Medium,Which gas do plants absorb from the atmosphere?,"Oxygen|Hydrogen|Nitrogen|Carbon Dioxide",Carbon Dioxide
Math,Medium,What is the longest river in the world?,"Nile|Amazon|Yangtze|Mississippi",Nile
Math,Medium,What is the hardest natural substance on Earth?,"Iron|Diamond|Gold|Silver",Diamond
Math,Medium,Who painted the Mona Lisa?,"Vincent van Gogh|Michelangelo|Leonardo da Vinci|Picasso",Leonardo da Vinci
Math,Medium,How many players are there on a soccer team?,"9|10|11|12",11
Math,Medium,What is the atomic number of carbon?,"5|6|7|8",6

Math,Hard,What is the integral of sin(x) dx?,"-cos(x)|cos(x)|tan(x)|sec(x)",-cos(x)
Math,Hard,Who is the founder of Microsoft?,"Steve Jobs|Larry Page|Bill Gates|Elon Musk",Bill Gates
Math,Hard,Which country won the FIFA World Cup in 2018?,"Brazil|France|Germany|Argentina",France
Math,Hard,What is the capital of Australia?,"Sydney|Canberra|Melbourne|Brisbane",Canberra
Math,Hard,What is the smallest prime number?,"0|1|2|3",2
Math,Hard,Who developed the theory of relativity?,"Newton|Galileo|Einstein|Tesla",Einstein
Math,Hard,What is the speed of light in a vacuum?,"3.0 x 10^8 m/s|2.0 x 10^8 m/s|1.5 x 10^8 m/s|4.0 x 10^8 m/s","3.0 x 10^8 m/s"
Math,Hard,What is the formula for calculating force?,"F = m/v|F = mv^2|F = ma|F = m/a","F = ma"
Math,Hard,What is the chemical symbol for gold?,"G|Au|Ag|Hg",Au
Math,Hard,Which element has the atomic number 1?,"Helium|Hydrogen|Oxygen|Carbon",Hydrogen

Science,Easy,What is the primary gas in the Earth's atmosphere?,"Oxygen|Nitrogen|Hydrogen|Carbon Dioxide",Nitrogen
Science,Easy,What does DNA stand for?,"Deoxyribonucleic acid|Dioxyribonucleic acid|Dioxyribose acid|Deoxyribose acid",Deoxyribonucleic acid
Science,Easy,What is the chemical symbol for oxygen?,"O|O2|Ox|O3",O
